story_name,clause_num,total_bits,wording_bits,semantic_bits
DAlmaggio,4,43.46682363428349,20.130104249617293,23.3367193846662
DAlmaggio,5,29.666649546764802,14.560970304815571,15.10567924194923
DAlmaggio,6,78.36569725122375,51.28333604456724,27.082361206656508
DAlmaggio,7,59.96725192739242,46.78306189191168,13.184190035480741
DAlmaggio,8,14.54124595133994,13.37187399581209,1.1693719555278512
DAlmaggio,9,15.255372951900092,9.424010866960563,5.8313620849395305
DAlmaggio,10,21.73904734464522,7.686848503655147,14.052198840990073
DAlmaggio,11,16.28667448503556,15.726820050243646,0.5598544347919174
DAlmaggio,12,22.185662885589814,5.464073187083323,16.721589698506488
DAlmaggio,13,23.566323115538246,15.609236194771336,7.95708692076691
DAlmaggio,14,3.988896810871301,3.0819291110356795,0.9069676998356218
DAlmaggio,15,48.196352044384966,51.1337276574766,-2.937375613091629
DAlmaggio,16,42.597895729948014,18.743060054727355,23.854835675220663
DAlmaggio,17,27.15760703923404,25.358464901784128,1.7991421374499128
DAlmaggio,18,9.475963390190781,4.168353136293435,5.307610253897345
DAlmaggio,19,42.88403085155347,34.88136165593048,8.002669195622985
DAlmaggio,20,24.794912122582975,12.21148364069264,12.583428481890333
DAlmaggio,21,7.392227103716642,9.501499375182743,-2.109272271466101
DAlmaggio,22,17.389828997447047,5.153866029021595,12.235962968425453
DAlmaggio,23,19.629246733729328,14.264929003985014,5.3643177297443145
DAlmaggio,24,18.730688291643684,11.407804607402793,7.322883684240892
DAlmaggio,25,18.096383258555583,8.234210124593297,9.862173133962287
DAlmaggio,26,3.5391112793942137,1.0703979902228495,2.468713289171364
DAlmaggio,27,16.374993769477502,11.52720733891667,4.84778643056083
DAlmaggio,28,59.91622397634249,58.82654190277504,1.0896820735674537
DAlmaggio,29,17.441957630460905,2.129524957178045,15.312432673282858
DAlmaggio,30,24.352523224380597,17.578619165206636,6.773904059173961
DAlmaggio,31,30.610776520593564,18.98503549761166,11.625741022981906
Triplett,1,106.25787107797424,57.273866010577684,48.98400506739655
Triplett,2,37.408631568050545,25.106275027970046,12.302356540080496
Triplett,3,29.50762200818208,7.506522634625387,22.00109937355669
Triplett,4,36.63092877257134,19.436934345049746,17.193994427521588
Triplett,5,38.941495048995066,19.139660287275262,19.801834761719807
Triplett,6,42.21714540678173,20.159338534294942,22.057806872486786
Triplett,7,18.309828858782197,8.937946620507406,9.37188223827479
Triplett,8,47.96961010955803,20.167087397957147,27.802522711600886
Triplett,9,49.2305593776398,14.536490992952405,34.69406838468739
Triplett,10,7.553015732922298,3.708705420865057,3.8443103120572406
Triplett,11,28.310072423793038,23.640157322378208,4.669915101414829
Triplett,12,84.9879813871729,28.320286827311605,56.66769455986128
Triplett,13,25.23025663304644,6.386461554130438,18.843795078916006
Triplett,14,54.98302408041611,36.87325645161392,18.109767628802185
Triplett,15,9.812157831336382,1.46875935234646,8.343398478989922
Triplett,16,51.38896641146977,27.555616160149942,23.83335025131983
Triplett,17,55.63780190932304,31.971162019584206,23.666639889738835
Triplett,18,28.645034080583503,10.874542813996372,17.77049126658713
Triplett,19,23.601589184542885,10.49793109902248,13.103658085520408
Triplett,20,68.41653667218335,24.874579993922207,43.541956678261144
Triplett,21,32.17886204482805,27.37739261186947,4.801469432958581
Triplett,22,18.199539828048138,10.448532157556196,7.751007670491943
Triplett,23,14.325510913827129,12.698252346478093,1.6272585673490358
Triplett,24,34.5063349037622,6.990695761159402,27.515639142602797
Triplett,25,48.005492565979345,16.488981125577215,31.516511440402134
Triplett,26,17.323237311446515,4.846949892064732,12.476287419381784
Triplett,27,51.03533707144708,23.68400878546206,27.351328285985023
Triplett,28,142.18788110972702,63.66217672811229,78.52570438161474
Triplett,29,6.695006674125346,4.473199959488046,2.2218067146373004
Triplett,30,3.4024497338282678,0.9636752103072749,2.4387745235209928
Triplett,31,3.930780426458603,2.556416160516655,1.3743642659419477
Triplett,32,24.492002530091543,23.846734638157415,0.6452678919341269
Hawkins,1,129.98062411105525,94.57788810890285,35.4027360021524
Hawkins,2,23.539598382004687,18.65500491476315,4.8845934672415385
Hawkins,3,90.13462689053938,77.33070840264983,12.80391848788955
Hawkins,4,75.49775307132516,46.47549087623247,29.022262195092697
Hawkins,5,36.50906049066942,21.95271307618633,14.556347414483087
Hawkins,6,27.191420204254875,9.347579030424486,17.84384117383039
Hawkins,7,177.64917376714448,134.64349479082782,43.00567897631664
Hawkins,8,80.25132052771771,66.67533477185243,13.575985755865284
Hawkins,9,25.40214022911583,20.623212891744185,4.778927337371643
Hawkins,10,100.38353809906681,80.35777916027017,20.025758938796635
Hawkins,11,14.869339332339178,9.394072131606787,5.475267200732391
